Sorting Algorithm,Data order,Data size,Running time,Comparisons
Selection Sort,Randomized,10000,0.118623,100019998
Selection Sort,Nearly sorted,10000,0.134566,100019998
Selection Sort,Sorted,10000,0.116596,100019998
Selection Sort,Reversed,10000,0.119719,100019998
Selection Sort,Randomized,30000,1.037496,900059998
Selection Sort,Nearly sorted,30000,1.016239,900059998
Selection Sort,Sorted,30000,1.015279,900059998
Selection Sort,Reversed,30000,1.018329,900059998
Selection Sort,Randomized,50000,2.843834,2500099998
Selection Sort,Nearly sorted,50000,2.842156,2500099998
Selection Sort,Sorted,50000,2.867831,2500099998
Selection Sort,Reversed,50000,2.854407,2500099998
Selection Sort,Randomized,100000,11.387697,10000199998
Selection Sort,Nearly sorted,100000,11.423386,10000199998
Selection Sort,Sorted,100000,11.282057,10000199998
Selection Sort,Reversed,100000,11.346317,10000199998
Selection Sort,Randomized,300000,101.860479,90000599998
Selection Sort,Nearly sorted,300000,103.005662,90000599998
Selection Sort,Sorted,300000,102.980693,90000599998
Selection Sort,Reversed,300000,103.144173,90000599998
Selection Sort,Randomized,500000,284.960827,250000999998
Selection Sort,Nearly sorted,500000,281.73716,250000999998
Selection Sort,Sorted,500000,283.606361,250000999998
Selection Sort,Reversed,500000,283.413569,250000999998
